;;Maisto prekių mažmeninės kainos spalio mėn. (N) | Lt
Ilgagrūdžiai ryžiai, kg;2005;2.38
;2006;2.66
;2007;3.07
;2008;5.12
;2009;4.09
;2010;3.57
Kvietiniai miltai, kg;2005;1.42
;2006;1.54
;2007;2.31
;2008;2.41
;2009;2.35
;2010;2.42
Kvietiniai nesijoti (šveistiniai) miltai, kg;2005;1.36
;2006;1.37
;2007;1.74
;2008;2.10
;2009;2.41
;2010;2.56
Kukurūzų miltai, kg;2005;2.40
;2006;2.41
;2007;2.69
;2008;3.18
;2009;3.56
;2010;3.67
Kukurūzų sveiki grūdai, kg;2005;
;2006;
;2007;
;2008;
;2009;
;2010;
Avižiniai dribsniai, 500 g;2005;0.81
;2006;1.37
;2007;1.69
;2008;1.74
;2009;1.69
;2010;1.57
Stambios manų kruopos, kg;2005;7.87
;2006;7.70
;2007;8.67
;2008;11.02
;2009;10.94
;2010;9.93
Sorų grūdai, kg;2005;3.15
;2006;3.05
;2007;3.84
;2008;5.26
;2009;5.23
;2010;4.59
Kvietinė duona, balta, supjaustyta riekėmis, įpakuota, 500 g;2005;1.92
;2006;2.24
;2007;2.91
;2008;3.54
;2009;3.50
;2010;3.26
Kvietinė duona, balta, nesupjaustyta, neįpakuota, 500 g;2005;1.48
;2006;1.84
;2007;2.37
;2008;2.44
;2009;2.90
;2010;3.07
Prancūziškas batonas, „baquette“ tipo , 250 g;2005;1.01
;2006;1.13
;2007;1.40
;2008;1.64
;2009;1.68
;2010;1.64
Batonas, 500 g;2005;1.47
;2006;1.74
;2007;2.10
;2008;2.54
;2009;2.49
;2010;2.60
Ruginė duona, 500 g;2005;1.21
;2006;1.41
;2007;1.81
;2008;2.18
;2009;2.17
;2010;2.27
Tortilijos (kukurūziniai paplotėliai), kg;2005;
;2006;
;2007;
;2008;20.76
;2009;20.25
;2010;20.64
Sveriami, pagerinti trapieji sausainiai, 250 g;2005;2.00
;2006;2.10
;2007;2.58
;2008;3.06
;2009;3.10
;2010;2.99
Kukurūzų dribsniai, 500 g;2005;6.24
;2006;6.40
;2007;6.50
;2008;7.26
;2009;7.34
;2010;7.62
Košė kūdikiams, 250 g;2005;6.25
;2006;6.04
;2007;6.24
;2008;7.11
;2009;8.23
;2010;8.37
Spagečiai, 500 g;2005;2.06
;2006;2.08
;2007;2.48
;2008;3.45
;2009;3.48
;2010;3.30
Jautienos kumpis be kaulo, kg;2005;13.68
;2006;14.42
;2007;16.15
;2008;22.30
;2009;21.49
;2010;18.62
Jautiena troškinimui, kg;2005;12.10
;2006;13.51
;2007;14.23
;2008;20.84
;2009;20.43
;2010;20.61
Jautienos kumpis su kaulu, kg;2005;11.60
;2006;12.79
;2007;13.69
;2008;18.73
;2009;19.38
;2010;16.15
Jautienos nugarinė be kaulo, kg;2005;15.23
;2006;16.02
;2007;17.96
;2008;27.78
;2009;27.18
;2010;27.62
Sūdyta konservuota jautiena, 340 g;2005;
;2006;
;2007;
;2008;
;2009;
;2010;
Veršiena, kumpis, kg;2005;19.72
;2006;25.87
;2007;31.01
;2008;37.81
;2009;42.70
;2010;40.63
Ėriena, koja, kg;2005;
;2006;
;2007;
;2008;
;2009;
;2010;
Aviena troškinimui, kg;2005;
;2006;
;2007;
;2008;
;2009;
;2010;
Kiaulienos muštinis, nugarinė, kg;2005;10.58
;2006;10.83
;2007;13.08
;2008;15.29
;2009;14.87
;2010;13.50
Kiaulienos kumpis su kaulu, kg;2005;8.27
;2006;8.24
;2007;9.78
;2008;12.70
;2009;12.03
;2010;10.86
Kiaulienos nugarinė be kaulo, kg;2005;14.39
;2006;14.62
;2007;17.00
;2008;19.67
;2009;18.02
;2010;16.22
Virtas kumpis, 500 g;2005;8.83
;2006;9.84
;2007;11.73
;2008;12.94
;2009;13.10
;2010;12.31
Įpakuotas bekonas, 250 g;2005;3.91
;2006;3.75
;2007;4.08
;2008;6.16
;2009;4.63
;2010;4.72
Viščiukai broileriai, kg;2005;5.98
;2006;6.11
;2007;7.61
;2008;8.71
;2009;8.86
;2010;8.79
Gyvos vištos, kg;2005;5.18
;2006;6.02
;2007;7.90
;2008;6.74
;2009;
;2010;
Išdarinėtos antys, kg;2005;11.50
;2006;11.95
;2007;11.34
;2008;14.13
;2009;16.66
;2010;16.57
Šviežia plekšnė, kg;2005;4.24
;2006;4.60
;2007;5.13
;2008;4.97
;2009;5.98
;2010;6.32
Šviežia menkė, kg;2005;8.75
;2006;10.19
;2007;11.30
;2008;11.39
;2009;11.04
;2010;11.06
Gyvas karpis, kg;2005;9.62
;2006;10.01
;2007;9.47
;2008;9.70
;2009;10.55
;2010;9.77
Šaldytos menkės, 500 g;2005;5.15
;2006;5.41
;2007;5.42
;2008;5.43
;2009;6.05
;2010;6.15
Konservuotos sardinės aliejuje, 110 g;2005;0.91
;2006;1.00
;2007;1.21
;2008;1.48
;2009;1.70
;2010;1.70
Konservuotos skumbrės, 500 g;2005;4.38
;2006;4.62
;2007;5.22
;2008;5.08
;2009;4.83
;2010;5.07
Pasterizuotas pienas 3,2 % riebumo, l;2005;2.24
;2006;2.24
;2007;2.87
;2008;2.70
;2009;2.13
;2010;2.63
Nepasterizuotas pienas, l;2005;1.04
;2006;1.03
;2007;1.42
;2008;1.76
;2009;1.75
;2010;1.48
Nenugriebto karvių pieno milteliai, 500 g;2005;
;2006;
;2007;
;2008;
;2009;
;2010;
Nugriebto karvių pieno milteliai, 500 g;2005;
;2006;
;2007;
;2008;
;2009;
;2010;
Sutirštintas karvės pienas be cukraus, 400 g;2005;2.69
;2006;2.66
;2007;2.96
;2008;3.57
;2009;3.36
;2010;3.69
Kondensuotas karvės pienas su cukrumi, 400 g;2005;3.21
;2006;3.22
;2007;3.80
;2008;4.52
;2009;4.51
;2010;4.62
Pieno milteliai kūdikiams, 500 g;2005;16.48
;2006;16.17
;2007;18.13
;2008;19.19
;2009;21.90
;2010;20.82
Čederio sūris, 250 g;2005;8.51
;2006;7.93
;2007;6.97
;2008;7.50
;2009;7.12
;2010;7.22
Sūris su mėlynaisiais pelėsiais, 250 g;2005;7.31
;2006;8.03
;2007;8.95
;2008;9.75
;2009;10.81
;2010;10.48
Fermentinis sūris 45–50% riebumo, 250 g;2005;3.75
;2006;3.78
;2007;4.98
;2008;4.94
;2009;4.37
;2010;5.22
Sviestas, 250 g;2005;3.92
;2006;3.90
;2007;5.59
;2008;4.66
;2009;4.09
;2010;5.10
Vaniliniai ledai, 0,5 l;2005;2.86
;2006;2.77
;2007;3.12
;2008;3.58
;2009;3.48
;2010;3.89
Švieži vištų kiaušiniai, 12 vnt.;2005;3.26
;2006;3.78
;2007;4.54
;2008;5.17
;2009;4.90
;2010;4.54
Švieži ančių kiaušiniai, 12 vnt;2005;
;2006;
;2007;
;2008;
;2009;
;2010;
Margarinas, 250 g;2005;1.43
;2006;1.58
;2007;1.87
;2008;2.39
;2009;2.30
;2010;2.22
Lydytas išvalytas sviestas  „gi“, kg;2005;
;2006;
;2007;
;2008;
;2009;
;2010;
Saulėgrąžų aliejus, l;2005;4.34
;2006;4.63
;2007;5.74
;2008;8.58
;2009;7.12
;2010;7.33
Alyvuogių aliejus, l;2005;16.97
;2006;22.08
;2007;22.45
;2008;23.28
;2009;24.54
;2010;24.44
Kiauliniai taukai, 500 g;2005;3.04
;2006;2.99
;2007;3.00
;2008;3.22
;2009;4.18
;2010;4.28
Apelsinai, kg;2005;2.95
;2006;3.83
;2007;4.01
;2008;4.11
;2009;3.67
;2010;4.56
Citrinos, 500 g;2005;2.07
;2006;1.77
;2007;2.61
;2008;2.98
;2009;2.30
;2010;3.01
Bananai, kg;2005;5.01
;2006;4.58
;2007;4.62
;2008;4.57
;2009;3.75
;2010;3.56
Švieži ananasai, kg;2005;5.53
;2006;5.87
;2007;6.86
;2008;6.25
;2009;6.18
;2010;5.66
Koncervuoti ananasai, 822 g  neto svoris;2005;3.55
;2006;3.18
;2007;3.38
;2008;4.09
;2009;5.01
;2010;4.45
Obuoliai, kg;2005;1.97
;2006;3.24
;2007;3.93
;2008;3.96
;2009;4.71
;2010;4.08
Vynuogės, kg;2005;4.39
;2006;4.36
;2007;6.81
;2008;6.37
;2009;4.90
;2010;5.65
Papajos, kg;2005;14.06
;2006;15.35
;2007;12.13
;2008;16.50
;2009;15.25
;2010;13.01
Mangai, kg;2005;5.80
;2006;10.56
;2007;9.31
;2008;10.18
;2009;8.30
;2010;7.57
Kokosai, kg;2005;3.06
;2006;3.51
;2007;3.33
;2008;4.20
;2009;3.35
;2010;4.15
Negliaudyti žemės riešutai, 500g;2005;
;2006;
;2007;
;2008;
;2009;
;2010;
Gliaudyti žemės riešutai, 100 g;2005;1.35
;2006;0.86
;2007;1.06
;2008;1.54
;2009;1.76
;2010;1.63
Bulvės, kg;2005;0.97
;2006;1.60
;2007;1.41
;2008;1.27
;2009;0.90
;2010;1.20
Svogūnai, kg;2005;1.02
;2006;1.63
;2007;1.61
;2008;1.51
;2009;1.17
;2010;1.67
Morkos, kg;2005;1.09
;2006;1.44
;2007;1.44
;2008;1.75
;2009;1.18
;2010;1.31
Kopūstai, kg;2005;0.74
;2006;0.81
;2007;1.20
;2008;0.87
;2009;0.54
;2010;1.03
Kininiai kopūstai, kg;2005;1.94
;2006;1.97
;2007;2.74
;2008;2.92
;2009;1.91
;2010;3.02
Pomidorai, kg;2005;3.30
;2006;3.07
;2007;5.07
;2008;4.85
;2009;3.78
;2010;4.99
Konservuota pomidorų tyrė, 70 g;2005;0.71
;2006;0.82
;2007;0.83
;2008;0.98
;2009;1.19
;2010;1.09
Šaldyti špinatai, 400 g;2005;2.38
;2006;2.46
;2007;2.91
;2008;3.35
;2009;3.47
;2010;3.56
Baklažanai, kg;2005;7.52
;2006;8.82
;2007;13.50
;2008;9.04
;2009;7.08
;2010;7.76
Žaliosios paprikos, kg;2005;5.70
;2006;7.76
;2007;8.05
;2008;7.65
;2009;3.60
;2010;4.68
Džiovintos aitriosios paprikos, kg;2005;
;2006;
;2007;30.86
;2008;27.81
;2009;
;2010;
Plantanai, kg;2005;
;2006;
;2007;
;2008;
;2009;
;2010;
Bamijos, kg;2005;
;2006;
;2007;
;2008;
;2009;
;2010;
Džiovintos baltos pupelės, kg;2005;3.79
;2006;4.40
;2007;5.03
;2008;5.63
;2009;5.66
;2010;5.74
Sojų pupelių daigai, kg;2005;
;2006;
;2007;
;2008;
;2009;
;2010;
Džiovintos pupuolės, kg;2005;
;2006;
;2007;
;2008;
;2009;
;2010;
Sojų varškė, 250 g;2005;
;2006;
;2007;
;2008;
;2009;
;2010;
Džiovinti avinžirniai, kg;2005;
;2006;
;2007;
;2008;
;2009;7.98
;2010;8.01
Džiovinti skaldyti žirniai, kg;2005;1.10
;2006;1.28
;2007;1.97
;2008;2.73
;2009;2.41
;2010;2.33
Sausas daržovių sriubos mišinys, 80 g;2005;1.73
;2006;2.12
;2007;2.49
;2008;2.54
;2009;3.12
;2010;3.19
Kūdikių maistas daržovių pagrindu, 200 g;2005;3.35
;2006;3.41
;2007;3.77
;2008;3.83
;2009;4.77
;2010;4.79
Manijokai, kg;2005;
;2006;
;2007;
;2008;
;2009;
;2010;
Saldžiosios bulvės, kg;2005;10.68
;2006;
;2007;
;2008;
;2009;
;2010;
Valgomieji batatai, kg;2005;
;2006;
;2007;
;2008;
;2009;
;2010;
Baltasis cukrus, kg;2005;2.94
;2006;3.06
;2007;3.14
;2008;3.21
;2009;3.18
;2010;3.02
Kavos pupelės, 500 g;2005;16.77
;2006;17.14
;2007;16.72
;2008;18.96
;2009;19.15
;2010;21.03
Tirpi kava, 250 g;2005;20.52
;2006;21.21
;2007;21.29
;2008;22.78
;2009;24.68
;2010;25.98
Juodoji arbata, maišeliuose, 100 g;2005;6.52
;2006;6.47
;2007;7.22
;2008;8.02
;2009;8.42
;2010;9.58
Žalioji arbata, 100 g;2005;3.18
;2006;3.42
;2007;3.58
;2008;3.84
;2009;3.75
;2010;3.58
